Age ayj
Aid ay-d
Air air
Art ahrt
Ask ask
Book buk
Brand brand
Break brayk
Case kays
Cause kawz
Change chaynj
Choice choys
Claim klaym
Class klas
Cloud klowd
Code kohd
Cost kawst
Crime krahm
Else els
End end
Fact fakt
Feel feel
Field feeld
Fight fayt
Form form
Free free
Game gaym
Goal gohl
Group groop
Growth grohth
Hand hand
Head hed
Help help
Home hohm
If if
Job jahb
Law law
Life lyf
Mind maɪnd
Name naym
Need need
News nyooz
Pain payn
Part part
Peace pees
Plan plan
Price prays
Risk risk
Role rohl
Rule rool
Skill skihl
Space spays
Speed speed
Team teem
Test test
Time tahym
To tuh
Tool tool
Trade trayd
Trust truhst
Truth trooth
Way way
Work wərk
World wɜrld
Year yeer
You yoo
Zone zohn
Access ak-ses
Action ak-shuhn
Actor ak-ter
Address uh-dres
Alarm uh-lahrm
Amount uh-maʊnt
Answer an-ser
Area air-ee-uh
Asset as-set
Budget buh-jit
Business biz-ness
Career kuh-reer
Chance chans
City sit-ee
Contact kon-takt
Content kon-tent
Control kuhn-trohl
Council koun-suhl
Credit kred-it
Culture kul-cher
Data dey-tuh
Demand dih-mand
Design dih-zine
Direction di-rek-shuhn
Effect uh-fekt
Effort ef-furt
Employee em-ploi-ee
Employer em-ploi-er
Error er-er
Event ee-vent
Expert eks-purt
Failure fail-yer
Feedback feed-bak
Focus fo-kus
Force fors
Function funk-shuhn
Future fyoo-chur
Habit hab-it
Health helth
Idea eye-dee-uh
Image im-ij
Impact im-pakt
Income in-kum
Increase in-krees
Input in-put
Issue ish-yoo
Knowledge nol-ij
Language lang-gwij
Leader lee-der
Learning lur-ning
Level lev-uhl
Limit lim-it
Market mar-ket
Measure mez-er
Meeting meet-ing
Method meth-uhd
Model mod-uhl
Moment moh-muhnt
Network net-wurk
Option op-shuhn
Order or-der
Outcome out-kum
Pattern pat-ern
People pee-puhl
Power pow-er
Process pros-es
Product prod-uhkt
Program proh-gram
Progress prog-res
Project proh-jekt
Purpose pur-puhs
Question kwes-chuhn
Reaction ree-ak-shuhn
Reason ree-zuhn
Record rek-urd
Research ree-surch
Result ri-zuhlt
Sample sam-puhl
Schedule sked-yool
Science sy-uhns
Season see-zuhn
Service sur-vuhs
Session sesh-uhn
Source sors
Standard stan-dard
Status stay-tuhs
Study stuh-dee
Success suhk-ses
Support suh-port
Survey sur-vay
System sis-tuhm
Target tar-get
Topic top-ik
Training tray-ning
Unit yoo-nit
Value val-yoo
Vision vizh-uhn
Volume vol-yoom
Wisdom wiz-duhm
Accident ak-suh-dent
Addition uh-dish-uhn
Adjustment uh-just-muhnt
Adoption uh-dop-shuhn
Agreement uh-gree-muhnt
Anything en-ee-thing
Appeal uh-peel
Argument ahr-gyuh-ment
Assessment uh-ses-muhnt
Assignment uh-sine-muhnt
Attention uh-ten-shuhn
Attitude at-i-tood
Attraction uh-trak-shuhn
Balance bal-uhns
Benefit ben-uh-fit
Boundary boun-duh-ree
Candidate kan-di-dayt
Character kar-ik-ter
Commitment kuh-mit-muhnt
Company kum-puh-nee
Condition kuhndish-uhn
Connection kuh-nek-shuhn
Construction kuhn-struk-shuhn
Containment kuhn-teyn-muhnt
Conversion kuhn-vur-zhuhn
Creation kree-ay-shuhn
Customer kus-tuh-mer
Decision di-sizh-uhn
Deduction dih-duhk-shuhn
Department dih-pahrt-muhnt
Dimension dih-mɛn-shuhn
Discussion dih-skuh-shuhn
Distance dis-tuhns
Distraction dih-strak-shuhn
Document dok-yuh-muhnt
Emotion ih-moh-shuhn
Energy en-er-jee
Estimate es-tuh-mit
Example ig-zam-puhl
Exception ik-sep-shuhn
Expansion ik-span-shuhn
Family fam-uh-lee
Feature fee-chur
Formation for-may-shuhn
Framework fraym-wurk
Frustration fruh-strey-shuhn
History his-tuh-ree
Impression im-presh-uhn
Inclusion in-kloo-zhuhn
Influence in-floo-uhns
Inspection in-spek-shuhn
Instance in-stuhns
Instruction in-struk-shuhn
Intention in-ten-shuhn
Interest in-tuh-rest
Interview in-ter-vyoo
Investment in-vest-muhnt
Location loh-kay-shuhn
Movement moov-muhnt
Objective ob-jek-tiv
Period peer-ee-uhd
Policy pol-uh-see
Position puh-zish-uhn
Profession pruh-fesh-uhn
Property prop-er-tee
Proposal pruh-poh-zuhl
Resource ree-sawrs
Revenue rev-uh-nyoo
Safety sayf-tee
Situation sit-yoo-ay-shuhn
Society suh-sahy-uh-tee
Solution suh-loo-shuhn
Statement stayt-muhnt
Strategy strat-uh-jee
Suggestion suh-jes-chuhn
Theory thee-uh-ree
Transition tran-zish-uhn
Translation tranz-lay-shuhn
Victory vik-tuh-ree
Ability uh-bil-i-tee
Acceptance ak-sep-tuhns
Achievement uh-cheev-muhnt
Acknowledgment uh-knawl-ij-muhnt
Activation ak-tiv-ay-shuhn
Activity ak-tiv-i-tee
Adherence ad-hear-uhns
Allegation al-uh-gay-shuhn
Analysis uh-nal-uh-sis
Application ap-li-kay-shuhn
Arrangement uh-raynj-muhnt
Audience aw-dee-uhns
Authority uh-thor-i-tee
Automation aw-tuh-may-shuhn
Behavior bi-hayv-yer
Calculation kal-kyuh-lay-shuhn
Celebration sel-uh-bray-shuhn
Circumstance sur-kum-stans
Combination kahm-buh-nay-shuhn
Community kuh-myoo-nuh-tee
Comparison kuhm-pair-ih-suhn
Competition kom-puh-tish-uhn
Complication kom-pli-kay-shuhn
Concentration kon-suhn-tray-shuhn
Confirmation kon-fur-may-shuhn
Consequence kon-se-kwens
Conservation kon-suh-vay-shuhn
Consultation kon-suhl-tay-shuhn
Contribution kon-truh-byoo-shuhn
Controversy kon-truh-vur-see
Cooperation koh-op-uh-ray-shuhn
Coordination koh-ord-uh-nay-shuhn
Declaration dek-luh-ray-shuhn
Dedication ded-i-kay-shuhn
Definition def-i-nish-uhn
Degradation de-gruh-day-shuhn
Demonstration dem-uhn-stray-shuhn
Designation dez-ig-nay-shuhn
Development dih-vel-uhp-muhnt
Difference dif-er-uhns
Difficulty dif-i-kul-tee
Discovery dih-skuh-vuh-ree
Distribution dis-trih-byoo-shuhn
Education ed-joo-kay-shuhn
Efficiency ih-fish-uhn-see
Engagement en-gayj-muhnt
Enlightenment in-lahyt-uhn-muhnt
Environment in-vy-ron-muhnt
Evaluation ih-val-yoo-ay-shuhn
Evidence ev-i-dens
Existence ig-zist-uhns
Expectation eks-pek-tay-shuhn
Experience ik-speer-ee-uhns
Experiment ik-sper-i-ment
Explanation eks-pluh-nay-shuhn
Exploration eks-plor-ay-shuhn
Generation jen-uh-ray-shuhn
Implication im-pli-kay-shuhn
Improvement im-proov-muhnt
Information in-for-may-shuhn
Innovation in-uh-vay-shuhn
Inspiration in-spuh-ray-shuhn
Insurance in-shoor-uhns
Integration in-tuh-gray-shuhn
Interaction in-ter-ak-shuhn
Involvement in-vawl-vuh-muhnt
Legislation lej-is-lay-shuhn
Limitation lim-i-tay-shuhn
Management man-ij-muhnt
Material muh-teer-ee-uhl
Motivation mo-tuh-vay-shuhn
Negotiation ni-go-shee-ay-shuhn
Observation ob-zur-vay-shuhn
Operation op-uh-ray-shuhn
Orientation or-ee-en-tay-shuhn
Performance per-form-uhns
Preparation prep-uh-ray-shuhn
Presentation prez-en-tay-shuhn
Publication pub-li-kay-shuhn
Quality kwah-li-tee
Recognition rek-uhg-nish-uhn
Regulation reg-yuh-lay-shuhn
Relationship ree-lay-shuhn
Relevance rel-uh-vuhns
Satisfaction sat-is-fak-shuhn
Security sih-kyur-i-tee
Simulation sim-yuh-lay-shuhn
Supervision soo-per-viz-huhn
Technology tek-nol-uh-jee
Transformation trans-for-may-shuhn
Transportation trans-por-tay-shuhn
Understanding un-der-stand-ing
Accommodation uh-kom-uh-day-shuhn
Accompaniment uh-kom-puh-nee-muhnt
Association uh-soh-see-ay-shuhn
Capability kay-puh-bil-i-tee
Clarification klahr-i-fi-kay-shuhn
Classification klas-i-fi-kay-shuhn
Collaboration kuh-lab-uh-ray-shuhn
Communication kuh-myoo-nih-kay-shuhn
Configuration kuhn-fig-yuh-ray-shuhn
Consideration kuhn-sid-er-ay-shuhn
Correspondence kor-uh-spond-uhns
Differentiation dif-er-en-shee-ay-shuhn
Documentation dok-yuh-men-tay-shuhn
Examination ig-zam-uh-nay-shuhn
Facilitation fuh-sil-i-tay-shuhn
Implementation im-pluh-men-tay-shuhn
Independence in-duh-pen-dents
Interpretation in-tur-pri-tay-shuhn
Investigation in-vuh-sti-gay-shuhn
Legitimacy luh-jit-uh-muh-see
Modification mod-uh-fi-kay-shuhn
Organization or-guh-nuh-zay-shuhn
Participation par-tis-i-pay-shuhn
Possibility paw-sih-bil-i-tee
Recommendation rek-uh-men-day-shuhn
Representation rep-ree-zen-tay-shuhn
Sophistication suh-fis-ti-kay-shuhn
Specialization spe-shuhl-i-zay-shuhn
Specification spe-suh-fi-kay-shuhn
Standardization stan-dard-i-zay-shuhn
Utilization yoo-tuh-li-zay-shuhn
Verification ver-i-fi-kay-shuhn
Accountability uh-kown-tuh-bil-i-tee
Affordability uh-for-dah-bil-i-tee
Identification eye-den-ti-fi-kay-shuhn
Qualification kwol-i-fi-kay-shuhn
Reliability ree-lahy-uh-bil-i-tee
Sustainability suh-steyn-uh-bil-i-tee
