Age ayj
Aid ay-d
Air air
Art ahrt
Ask ask
Book buk
Brand brand
Break brayk
Case kays
Cause kawz
Change chaynj
Choice choys
Claim klaym
Class klahs
Client klahy-uhnt
Cloud klowd
Code kohd
Cost kawst
Crime krahm
Else els
End end
Fact fakt
Feel feel
Field feeld
Fight fyte
Form form
Free free
Game gaym
Goal gohl
Group groop
Growth grohth
Guide gide
Hand hand
Head hed
Help help
Home hohm
If if
Job jahb
Law law
Life lyf
Mind mynd
Name naym
Need need
News nyooz
Pain payn
Part part
Peace pees
Plan plan
Price pryce
Risk risk
Role roh-l
Rule rool
Search surch
Skill skihl
Space spays
Speed speed
Strength strengkth
Team teem
Test test
Time tym
To too
Tool tool
Trade trayd
Trend trend
Trust truhst
Truth trooth
Way way
Work wurk
World wurld
Year yeer
You yoo
Youth yooth
Zone zohn
Access ak-ses
Action ak-shun
Actor ak-tor
Address uh-dres
Alarm uh-larm
Amount uh-mount
Answer an-ser
Area air-ee-uh
Asset as-set
Budget buh-jit
Business biz-nis
Career kuh-reer
Challenge chal-uhnj
Chance chans
City sit-ee
Complaint kuhm-plaint
Contact kon-takt
Content kon-tent
Contract kon-trakt
Control kuhn-trohl
Council koun-suhl
Credit kred-it
Culture kuhl-cher
Data day-tuh
Demand dih-mand
Design dih-zine
Direction dih-rek-shun
Effect uh-fekt
Effort ef-urt
Employee em-ploi-ee
Employer em-ploi-er
Error er-er
Event ih-vent
Expert eks-purt
Failure fayl-yur
Feedback feed-bak
Focus foh-kus
Force fors
Function funk-shun
Future fyoo-chur
Habit hab-it
Health helth
Idea eye-dee-uh
Image im-ij
Impact im-pakt
Income in-kum
Increase in-krees
Input in-put
Issue ish-yoo
Knowledge nol-ij
Language lang-gwij
Leader lee-der
Learning lur-ning
Level lev-uhl
Limit lim-it
Market mar-ket
Measure meh-zher
Meeting mee-ting
Method meth-uhd
Model mod-uhl
Moment moh-muhnt
Network net-wurk
Option op-shun
Order awr-der
Outcome out-kum
Pattern pat-urn
People pee-puhl
Power pow-ur
Process prah-ses
Product prod-uhkt
Program proh-gram
Progress prog-res
Project proj-ekt
Purpose pur-puhs
Question kwes-chun
Reaction ree-ak-shun
Reason ree-zuhn
Record rek-erd
Research ree-surch
Result ri-zult
Sample sam-puhl
Schedule sked-jool
Science sy-uhns
Season see-zuhn
Service sur-vis
Session sesh-uhn
Source sors
Standard stan-dard
Status stay-tuhs
Study stuh-dee
Success suhk-ses
Support suh-port
Survey sur-vay
System sis-tuhm
Target tar-get
Topic top-ik
Training tray-ning
Unit yoo-nit
Value val-yoo
Vision vizh-uhn
Volume vol-yoom
Wisdom wiz-duhm
Accident ak-suh-dent
Addition uh-dish-uhn
Adjustment uh-juhst-ment
Adoption uh-dop-shun
Agreement uh-gree-ment
Animal an-uh-muhl
Anything en-ee-thing
Appeal uh-peel
Argument ahr-gyoo-ment
Assessment uh-ses-ment
Assignment uh-sine-ment
Attention uh-ten-shun
Attitude at-i-tood
Attraction uh-trak-shun
Balance bal-uhns
Benefit ben-uh-fit
Boundary boun-dree
Candidate kan-di-dayt
Character kar-ik-ter
Commitment kuh-mit-ment
Company kum-puh-nee
Condition kuhn-dish-un
Connection kuh-nek-shun
Construction kuhn-struk-shun
Containment kuhn-tayn-ment
Conversion kuhn-ver-shun
Conviction kuhn-vik-shun
Creation kree-ay-shun
Customer kus-tuh-mer
Decision dih-sizh-un
Deduction dih-duhk-shun
Department dih-pahrt-ment
Dimension dih-men-shun
Discussion dis-kush-un
Distance dis-tuhns
Distraction dih-strak-shun
Document dok-yuh-ment
Emotion ih-moh-shun
Energy en-er-jee
Estimate es-tuh-mayt
Example ig-zam-puhl
Exception ik-sep-shun
Expansion ik-span-shun
Family fam-uh-lee
Feature fee-chur
Formation for-may-shun
Framework fraym-wurk
Frustration fruhs-tray-shun
History his-tuh-ree
Impression im-presh-un
Inclusion in-kloo-zhun
Influence in-floo-uhns
Inspection in-spek-shun
Instance in-stuhns
Instruction in-struhk-shun
Intention in-ten-shun
Interest in-ter-est
Interview in-ter-vyoo
Investment in-vest-ment
Location loh-kay-shun
Movement moov-ment
Objective uhb-jek-tiv
Period pir-ee-uhd
Policy pol-uh-see
Position puh-zish-un
Profession pruh-fesh-un
Property prop-er-tee
Proposal pruh-poh-zuhl
Resource ree-sors
Revenue rev-uh-nyoo
Safety sayf-tee
Situation sit-yoo-ay-shun
Society suh-sy-uh-tee
Solution suh-loo-shun
Statement stayt-ment
Strategy strat-uh-jee
Suggestion suhj-jes-chun
Theory thee-uh-ree
Transition tran-zish-un
Translation tranz-lay-shun
Victory vik-tuh-ree
Ability uh-bil-i-tee
Acceptance ak-sep-tuhns
Achievement uh-cheev-ment
Acknowledgment ak-nol-ij-ment
Activation ak-tuh-vay-shun
Activity ak-tiv-i-tee
Adherence ad-heer-uhns
Allegation al-uh-gay-shun
Analysis uh-nal-uh-sis
Application ap-li-kay-shun
Arrangement uh-raynj-ment
Audience aw-dee-uhns
Authority uh-thor-i-tee
Automation aw-tuh-may-shun
Behavior bih-hay-vyur
Calculation kal-kyuh-lay-shun
Celebration sel-uh-bray-shun
Circumstance sur-kuhm-stans
Combination kom-buh-nay-shun
Community kuh-myoo-ni-tee
Comparison kuhm-pair-i-suhn
Competition kom-puh-tish-un
Complication kom-pli-kay-shun
Concentration kon-suhn-tray-shun
Confirmation kon-fur-may-shun
Consequence kon-suh-kwens
Conservation kon-sir-vay-shun
Consultation kon-suhl-tay-shun
Contribution kon-tri-byoo-shun
Controversy kon-truh-vur-see
Cooperation koh-op-er-ay-shun
Coordination koh-ord-i-nay-shun
Declaration dek-luh-ray-shun
Dedication ded-i-kay-shun
Definition def-i-nish-un
Degradation deg-ruh-day-shun
Demonstration dem-uhn-stray-shun
Designation dez-ig-nay-shun
Development dih-vel-uhp-ment
Difference dif-er-uhns
Difficulty dif-i-kul-tee
Discovery dih-skuhv-er-ee
Distribution dis-trih-byoo-shun
Education ej-oo-kay-shun
Efficiency ih-fish-uhn-see
Engagement in-gayj-ment
Enlightenment in-lahyt-uhn-ment
Environment in-vy-ron-ment
Evaluation ih-val-yoo-ay-shun
Evidence ev-i-dens
Existence ig-zis-tuhns
Expectation eks-pek-tay-shun
Experience ik-speer-ee-uhns
Experiment ik-sper-uh-ment
Explanation eks-pluh-nay-shun
Exploration eks-pluh-ray-shun
Generation jen-uh-ray-shun
Implication im-pli-kay-shun
Improvement im-proov-ment
Information in-fur-may-shun
Innovation in-uh-vay-shun
Inspiration in-spuh-ray-shun
Insurance in-shoor-uhns
Integration in-tuh-gray-shun
Interaction in-tuh-rak-shun
Involvement in-vawlvmuhnt
Legislation lej-uh-slay-shun
Limitation lim-i-tay-shun
Management man-ij-ment
Material muh-teer-ee-uhl
Motivation moh-tiv-ay-shun
Negotiation ni-goh-shee-ay-shun
Observation ob-zur-vay-shun
Operation op-uh-ray-shun
Orientation or-ee-en-tay-shun
Performance pur-form-uhns
Preparation prep-uh-ray-shun
Presentation prez-en-tay-shun
Publication pub-li-kay-shun
Quality kwol-i-tee
Recognition rek-uhg-nish-un
Regulation rej-uh-lay-shun
Relationship ree-lay-shun-ship
Relevance rel-uh-vuhns
Satisfaction sat-is-fak-shun
Security sih-kyoor-i-tee
Simulation sim-yuh-lay-shun
Supervision soo-pur-vizh-un
Technology tek-nol-uh-gee
Transformation trans-for-may-shun
Transportation trans-pawrt-ay-shun
Understanding un-der-stan-ding
Variation vair-ee-ay-shun
Accommodation uh-kom-uh-day-shun
Accompaniment uh-kom-puh-nee-ment
Association uh-soh-see-ay-shun
Capability kay-puh-bil-i-tee
Clarification klahr-if-i-kay-shun
Classification klas-uh-fi-kay-shun
Collaboration kuh-lab-uh-ray-shun
Communication kuh-myoo-ni-kay-shun
Configuration kuhn-fig-yuh-ray-shun
Consideration kuhn-sid-uh-ray-shun
Correspondence kor-uhs-pon-dens
Differentiation dif-er-en-shee-ay-shun
Documentation dok-yuh-men-tay-shun
Examination ig-zam-uh-nay-shun
Facilitation fuh-sil-i-tay-shun
Implementation im-pluh-men-tay-shun
Independence in-dee-pen-dens
Interpretation in-tur-pri-tay-shun
Investigation in-ves-ti-gay-shun
Legitimacy luh-jit-uh-muh-see
Modification mod-uh-fi-kay-shun
Organization or-guh-nuh-zay-shun
Participation pahr-tis-i-pay-shun
Possibility pah-sih-bil-i-tee
Recommendation rek-uh-men-day-shun
Representation rep-ree-zen-tay-shun
Sophistication suh-fis-ti-kay-shun
Specialization speh-shuh-luh-zay-shun
Specification spes-i-fi-kay-shun
Standardization stan-dur-dye-zay-shun
Utilization yoo-tuh-luh-zay-shun
Verification ver-i-fi-kay-shun
Accountability uh-koun-tuh-bil-i-tee
Affordability uh-fawrd-uh-bil-i-tee
Identification eye-den-ti-fi-kay-shun
Qualification kwahl-i-fi-kay-shun
Reliability ree-lie-uh-bil-i-tee
Sustainability suh-stay-nuh-bil-i-tee
