B bee
Bets bets
Vows vow
Drool drool
Splits split
Late layt
Acts akts
Adds adz
Asks asks
Blends blendz
Boosts boosts
Breaks brayks
Builds bildz
Calls kawlz
Forms formz
Gains gainz
Gives givz
Goes gohz
Grows grohz
Helps helps
Joins joynz
Keeps keeps
Knows nohz
Leads leedz
Learns lurnz
Moves moovz
Plans planz
Quotes kwots
Reads reedz
Sells selz
Sends sendz
Shares shairz
Shows shohz
Solves solvz
Speaks speekz
Starts startz
Stays stayz
Takes taykz
Tests testz
Thinks thingkz
Trusts trustz
Views vyooz
Votes vohtz
Waits waytz
Walks wawlkz
Wishes wishiz
Writes rytz
Accepts ak-septs
Achieves uh-cheevz
Adapts uh-dapts
Adjusts uh-juhsts
Advises ad-vizes
Agrees uh-greez
Aligns uh-layns
Allows uh-lowz
Appears uh-peers
Applies uh-pliez
Archives ahr-kivz
Argues ahr-gyooz
Assists uh-sists
Attempts uh-tempts
Augments awg-ments
Believes buh-leevz
Broadcasts brod-kasts
Captures kap-cherz
Combines kum-bynz
Compares kum-pairz
Completes kum-pleets
Concludes kuhn-kloodz
Confirms kon-furmz
Conforms kuhn-formz
Connects kuh-nekts
Constructs kun-structs
Contrasts kon-trasts
Converts kuhn-vurtz
Conveys kuhn-vayz
Creates kree-ayts
Debates dih-bayts
Decides dih-sahydz
Deduces dih-doo-siz
Defends dih-fendz
Defines dih-fynz
Demands dih-mandz
Depicts dih-pikts
Derives dih-ryvz
Describes dih-skrybz
Designs dih-zynz
Devises dih-vyzes
Expands ik-spandz
Expects ik-spektz
Explains ik-splaynz
Explores ik-splorz
Follows fol-ohz
Fulfills fuhl-filz
Improves im-proovz
Includes in-kloodz
Informs in-formz
Inquires in-kwirez
Inspires in-spy-ers
Listens lis-enz
Maintains mayn-tayns
Manages man-ij-iz
Measures meh-zherz
Negates nih-gayts
Obtains uh-baynz
Offers aw-ferz
Opens oh-puhnz
Outlines owt-layns
Perceives per-seevz
Predicts pri-diktz
Prepares pri-pairz
Presents pri-zents
Prevents pri-vents
Promotes pruh-mohts
Provides pruh-vydz
Relates ree-layts
Provokes pruh-vohkz
Reflects ree-flektz
Pursues pur-sooz
Questions kwes-chunz
Remains ree-maynz
Reminds ree-myndz
Removes ree-moovz
Renews ree-nyooz
Reports ree-portz
Observes uhb-zurvz
Requires ree-kwirez
Responds ree-spondz
Restores ree-storz
Results ree-zults
Retains ree-taynz
Retrieves ree-treevz
Returns ree-turnz
Reviews ree-vyooz
Schedules sked-joolz
Secures si-kyoorz
Selects si-lektz
Strengthens strengk-thens
Studies stud-eez
Submits sub-mitz
Succeeds suk-seedz
Suggests suh-jestz
Supports suh-portz
Survives ser-vyvz
Sustains suh-staynz
Tailors tay-lorz
Targets tar-getz
Transforms trans-formz
Translates tranz-layts
Updates uhp-dayts
Upgrades uhp-graydz
Visits viz-its
Activates ak-tiv-ayts
Advances ad-vans-iz
Allocates al-oh-kayts
Announces uh-nouns-iz
Produces pruh-doos-siz
Punishes pun-ish-iz
Attaches uh-tach-iz
Proposes pruh-pohz-iz
Revisits ree-viz-its
Researches ree-surch-iz
Dueling fates doo-ling fayts
Discusses dih-skuh-siz
Embraces em-bray-siz
Engages en-gayj-iz
Publishes puh-blish-iz
Refuses ree-fyooz-iz
Reinvents ree-in-vents
Releases ree-leez-iz
Assembles uh-sem-buhlz
Balances bal-uhns-iz
Validates val-i-dayts
Benefits ben-uh-fits
Calculates kal-kyuh-layts
Celebrates sel-uh-brayts
Clarifies klar-uh-fyz
Classifies klas-uh-fyz
Comprehends kom-pri-hendz
Conjectures kuhn-jek-churz
Considers kuhn-sid-erz
Verifies ver-uh-fyz
Contributes kuhn-trib-yootz
Coordinates kohrd-uh-nayts
Corresponds kor-uh-spondz
Cultivates kul-tuh-vayts
Dedicates ded-i-kayts
Delivers dih-liv-erz
Demonstrates dem-uhn-strayts
Determines dih-tur-minz
Develops dih-vel-uhps
Disagrees dis-uh-greez
Discovers dis-kuh-verz
Distributes dih-strib-yootz
Documents dok-yuh-ments
Educates ej-oo-kayts
Emphasizes em-fuh-syze-z
Enables in-ay-buhlz
Encourages in-kur-ij-iz
Enforces in-fors-iz
Enhances en-hans-iz
Envisions en-vizh-unz
Innovates in-uh-vayts
Integrates in-tuh-grayts
Interacts in-ter-rakts
Interprets in-tur-prits
Examines ig-zam-inz
Executes ek-suh-kyoots
Exhibits ig-zib-its
Formulates for-myoo-layts
Generates jen-uh-rayts
Justifies juhs-tih-fyz
Illustrates il-uh-strayts
Operates op-uh-rayts
Mediates mee-dee-ayts
Mitigates mit-i-gayts
Monitors mon-i-terz
Motivates moh-tuh-vayts
Navigates nav-i-gayts
Recommends rek-uh-mendz
Signifies sig-nuh-fahyz
Simplifies sim-pluh-fahyz
Registers rej-is-terz
Regulates rej-yoo-layts
Revisits ree-viz-its
Specifies spes-uh-fahyz
Simulates sim-yuh-layts
Implements im-pluh-ments
Distinguishes dih-sting-gwish-iz
Influences in-floo-ens-iz
Establishes ih-stab-lish-iz
Evaluates ih-val-yoo-ayts
Initiates ih-nish-ee-ayts
Introduces in-truh-doos-iz
Leverages lev-er-ij-iz
Maximizes mak-suh-mahyzez
Reinforces ree-in-fors-iz
Reiterates ree-it-er-ayts
Represents rep-ri-zents
Negotiates ni-go-shi-ayts
Optimizes op-tuh-mahyz-iz
Organizes awr-guh-nahyz-iz
Recognizes rek-uhg-nahyz-iz
Reassesses ree-uh-ses-iz
Scrutinizes skroo-tuh-nahyz-iz
Stabilizes stay-buh-lahyz-iz
Strategizes strat-uh-jahyz-iz
